"life_stage","ID","parentID","originalID","start_time","time","horiz_pos_type","vert_pos_type","horiz_pos_1","horiz_pos_2","vert_pos","bathy_dep","grid_cell_id","track","active_status","alive_status","age","age_in_stage","n_ind","attached","stage_prog","embryoSL","embryoDW","growthrateSL","growthrateDW","egg_density","temp","salinity","insitu_den"
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.151046047161,58.3104984022268,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.638933212878,58.0126763081945,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.720247740497,58.2608613865547,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.232360574781,57.9134022768504,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.907102464303,57.6155801828181,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.663158881444,57.3673951044579,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.069731519542,57.3177580887859,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.581844353825,57.2184840574418,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.012642660489,57.0695730104257,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-170.76869907763,57.2681210731138,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.419215298586,57.466669135802,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-171.663158881444,58.0126763081945,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.720247740497,58.4594094492429,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.964191323356,58.9557796059633,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-173.614707544311,59.0054166216354,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-173.614707544311,59.3528757313397,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-174.021280182409,59.4521497626837,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-174.509167348125,59.700334841044,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-174.590481875745,59.6010608096999,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-173.614707544311,59.0550536373074,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-01 00:00:00",-1,2,3,-172.882876795736,58.5090464649149,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
"Eggs",-1,-1,-1,"2003-03-11 00:00:00",-1,2,3,-165.645883837604,54.9351813365278,0,-1,"","",FALSE,TRUE,0,0,8e+06,TRUE,0,0,0.01,0,0,0,-1,-1,-1
